cruise_name,date,latitude,longitude,pres,temp,phosphat,phosphat_q,doxy,doxy_q,psal,psal_q,categ
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,986,13.0168752,0.369866652388594,2,193.985859391401,2,38.44,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,1183,12.99688,0.340668680978093,2,195.287206331229,2,38.442,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,1483,12.99688,0.360138141916817,2,197.891090835766,2,38.432,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,1692,13.0168752,0.360138677753454,2,198.755711380881,2,38.43,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,2000,13.046868,0.321205483509133,2,197.025736700226,2,38.427,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,2304,13.096856,0.340672735946973,2,198.755550625063,2,38.426,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,2615,13.1568416,0.330937505836794,2,206.139850732279,2,38.4246,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,4,19.6352864,0.029220557457222,2,226.174932231705,2,37.481,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,16,19.645284,0.029220492232696,2,226.613146986502,2,37.507,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,25,19.645284,0.00974014958325954,2,227.050978479059,2,37.51,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,35,19.645284,0.0292204270083499,2,227.479227572789,2,37.51,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,54,19.6252888,0,2,226.611233943896,2,37.529,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,80,16.5160352,0.0194820820653103,2,235.151081085825,2,37.386,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,103,14.6864744,0.01948044411011,2,237.20434312333,2,37.476,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,150,13.5567456,0.116840321411325,2,215.789034561224,2,38.085,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,184,13.1668392,0.165500392651214,2,212.270783102666,2,38.224,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,204,13.1368464,0.204431471315459,2,207.914142252372,2,38.243,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,254,13.2168272,0.253081718539721,2,202.260585313764,2,38.37,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,284,13.2868104,0.262799598846251,2,196.604625464716,2,38.446,2,training
